	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	81	4h8VwCb1MTGoLKueQ1WgbD	1vCWHaC5f2uS3yhpwWbIA6	1s9tU91VJt4sU5owi29GD3	Wake Me Up	Avicii	True	False	1	1	spotify:track:4h8VwCb1MTGoLKueQ1WgbD	124.102	audio_features	2	-5.659	1	0.0524	0.171	0.588	0.518	0.784	https://api.spotify.com/v1/tracks/4h8VwCb1MTGoLKueQ1WgbD	https://api.spotify.com/v1/audio-analysis/4h8VwCb1MTGoLKueQ1WgbD	247427	4	0.00346	0.00187	big room	92	75	2013-01-01
27	77	4RXpgGM7A4Hg7cFBoH5KyF	1vCWHaC5f2uS3yhpwWbIA6	1s9tU91VJt4sU5owi29GD3	Hey Brother	Avicii	True	False	1	3	spotify:track:4RXpgGM7A4Hg7cFBoH5KyF	124.943	audio_features	7	-4.829	0	0.0473	0.0838	0.427	0.537	0.777	https://api.spotify.com/v1/tracks/4RXpgGM7A4Hg7cFBoH5KyF	https://api.spotify.com/v1/audio-analysis/4RXpgGM7A4Hg7cFBoH5KyF	255093	4	0.0279	6.12e-05	big room	92	75	2013-01-01
54	69	1CKtxKqyFsFITCH4SpDrWj	1vCWHaC5f2uS3yhpwWbIA6	1s9tU91VJt4sU5owi29GD3	You Make Me	Avicii	True	False	1	2	spotify:track:1CKtxKqyFsFITCH4SpDrWj	125.008	audio_features	6	-4.82	1	0.0408	0.149	0.525	0.582	0.738	https://api.spotify.com/v1/tracks/1CKtxKqyFsFITCH4SpDrWj	https://api.spotify.com/v1/audio-analysis/1CKtxKqyFsFITCH4SpDrWj	233347	4	0.00219	0.0083	big room	92	75	2013-01-01
90	75	03fT3OHB9KyMtGMt2zwqCT	0BvkDsjIUla7X0k6CSWh1I	5M8gr5RV2eR6UkztC69ogB	Play It Again	Luke Bryan	Crash My Party	False	1	9	spotify:track:03fT3OHB9KyMtGMt2zwqCT	144.056	audio_features	11	-3.15	1	0.0696	0.071	0.596	0.51	0.898	https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT	https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT	226867	4	0.0832	0.0	contemporary country	79	69	2013-01-01
117	69	5HGibWoxnkYSkl6mHmAlOE	0BvkDsjIUla7X0k6CSWh1I	5M8gr5RV2eR6UkztC69ogB	That's My Kind Of Night	Luke Bryan	Crash My Party	False	1	1	spotify:track:5HGibWoxnkYSkl6mHmAlOE	110.02	audio_features	4	-2.84	0	0.051	0.1	0.899	0.66	0.754	https://api.spotify.com/v1/tracks/5HGibWoxnkYSkl6mHmAlOE	https://api.spotify.com/v1/audio-analysis/5HGibWoxnkYSkl6mHmAlOE	190187	4	0.0626	0.0	contemporary country	79	69	2013-01-01
171	75	3Z2sglqDj1rDRMF5x0Sz2R	73sIBHcqh3Z3NyqHKZ7FOL	0zi2TaQkYxfXIBvl2yTjQJ	3005	Childish Gambino	Because The Internet	True	1	9	spotify:track:3Z2sglqDj1rDRMF5x0Sz2R	165.985	audio_features	6	-6.474	0	0.333	0.0973	0.615	0.473	0.461	https://api.spotify.com/v1/tracks/3Z2sglqDj1rDRMF5x0Sz2R	https://api.spotify.com/v1/audio-analysis/3Z2sglqDj1rDRMF5x0Sz2R	234213	4	0.149	0.0	hip hop	81	72	2013-01-01
198	74	2rmq49FcJ4U3wh1Z7C9UxE	73sIBHcqh3Z3NyqHKZ7FOL	0zi2TaQkYxfXIBvl2yTjQJ	IV. Sweatpants	Childish Gambino	Because The Internet	True	1	8	spotify:track:2rmq49FcJ4U3wh1Z7C9UxE	79.929	audio_features	4	-8.352	1	0.177	0.639	0.612	0.644	0.479	https://api.spotify.com/v1/tracks/2rmq49FcJ4U3wh1Z7C9UxE	https://api.spotify.com/v1/audio-analysis/2rmq49FcJ4U3wh1Z7C9UxE	180680	4	0.169	0.0	hip hop	81	72	2013-01-01
225	67	7pRcWov3NHxi0GDkKdbSb0	73sIBHcqh3Z3NyqHKZ7FOL	0zi2TaQkYxfXIBvl2yTjQJ	I. The Worst Guys	Childish Gambino	Because The Internet	True	1	5	spotify:track:7pRcWov3NHxi0GDkKdbSb0	97.028	audio_features	5	-6.488	0	0.104	0.0662	0.399	0.613	0.684	https://api.spotify.com/v1/tracks/7pRcWov3NHxi0GDkKdbSb0	https://api.spotify.com/v1/audio-analysis/7pRcWov3NHxi0GDkKdbSb0	219747	4	0.0534	0.0	hip hop	81	72	2013-01-01
261	84	3U4isOIWM3VvDubwSI3y7a	5y2Xq6xcjJb2jVM54GHK3t	4OTAx9un4e6NfoHuVRiOrC	All of Me	John Legend	Love In The Future	False	1	6	spotify:track:3U4isOIWM3VvDubwSI3y7a	119.93	audio_features	8	-7.064	1	0.0322	0.132	0.331	0.422	0.264	https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a	https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a	269560	4	0.922	0.0	neo mellow	81	74	2013-08-30
288	75	3xdjjKMcMOFgo1eQrfbogM	7FY5V3XMwlNBPitEjXowHQ	6cowf7fdb5dgKoglTekOK8	Wagon Wheel	Darius Rucker	True Believers	False	1	3	spotify:track:3xdjjKMcMOFgo1eQrfbogM	148.102	audio_features	9	-7.138	1	0.0306	0.142	0.592	0.529	0.663	https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM	https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM	298400	4	0.456	0.0	contemporary country	70	64	2013-05-17
